best_epoch,best_loss,final_epoch,patience,module,module__num_units,module__activation,optimizer,lr
500,0.092909118681989,500,100,SimpleNeuralNet,30,Tanh,SGD,0.001
500,0.0994874973890986,500,100,SimpleNeuralNet,30,Tanh,SGD,0.001
500,0.0719992616311417,500,100,SimpleNeuralNet,30,Tanh,SGD,0.001
499,0.070343233327236,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.001
497,0.0722546479918157,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.001
498,0.0503804859959084,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.001
500,0.1413380531159236,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.001
500,0.1552902580576831,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.001
500,0.1025622078858413,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.001
500,0.0660006989018544,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.001
500,0.0662332532039943,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.001
500,0.0426415932732362,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.001
500,0.1391323703263076,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.001
500,0.1563657881246123,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.001
500,0.1127290138661874,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.001
496,0.0608812125864518,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.001
497,0.0606580883504934,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.001
490,0.0393061369929961,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.001
500,0.1355521729499529,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.001
500,0.1605701673682158,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.001
500,0.1087109245992932,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.001
498,0.056209840141619,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.001
500,0.0588952343253057,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.001
499,0.0338826833657037,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.001
500,0.1304491599190142,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.001
500,0.1608986281994774,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.001
500,0.1053825053230335,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.001
498,0.054689508624058,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.001
499,0.0554119223273231,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.001
498,0.0341762902128181,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.001
500,0.1391977891902906,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.001
500,0.1552420433685199,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.001
500,0.1131057965788156,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.001
489,0.0740716933595733,500,100,SimpleNeuralNet,10,ReLU,Adam,0.0005
479,0.0832901839553912,500,100,SimpleNeuralNet,10,ReLU,Adam,0.0005
375,0.0500645796678019,475,100,SimpleNeuralNet,10,ReLU,Adam,0.0005
500,0.0950864191822161,500,100,SimpleNeuralNet,10,ReLU,SGD,0.0005
500,0.1067130523680307,500,100,SimpleNeuralNet,10,ReLU,SGD,0.0005
500,0.0943479648246563,500,100,SimpleNeuralNet,10,ReLU,SGD,0.0005
478,0.0623366728259311,500,100,SimpleNeuralNet,15,ReLU,Adam,0.0005
496,0.0713274914001259,500,100,SimpleNeuralNet,15,ReLU,Adam,0.0005
496,0.0416050509669673,500,100,SimpleNeuralNet,15,ReLU,Adam,0.0005
500,0.0927251890526396,500,100,SimpleNeuralNet,15,ReLU,SGD,0.0005
500,0.1151353487601893,500,100,SimpleNeuralNet,15,ReLU,SGD,0.0005
500,0.0804064928121491,500,100,SimpleNeuralNet,15,ReLU,SGD,0.0005
493,0.0619744638723847,500,100,SimpleNeuralNet,20,ReLU,Adam,0.0005
499,0.0626911057816779,500,100,SimpleNeuralNet,20,ReLU,Adam,0.0005
492,0.0413252402320552,500,100,SimpleNeuralNet,20,ReLU,Adam,0.0005
500,0.0919651608631188,500,100,SimpleNeuralNet,20,ReLU,SGD,0.0005
500,0.1019632947001951,500,100,SimpleNeuralNet,20,ReLU,SGD,0.0005
500,0.0789418028976474,500,100,SimpleNeuralNet,20,ReLU,SGD,0.0005
500,0.0582618022445695,500,100,SimpleNeuralNet,25,ReLU,Adam,0.0005
499,0.0616257416096829,500,100,SimpleNeuralNet,25,ReLU,Adam,0.0005
497,0.0377071967997918,500,100,SimpleNeuralNet,25,ReLU,Adam,0.0005
500,0.088065663354652,500,100,SimpleNeuralNet,25,ReLU,SGD,0.0005
500,0.1066681911007361,500,100,SimpleNeuralNet,25,ReLU,SGD,0.0005
500,0.0781005816003293,500,100,SimpleNeuralNet,25,ReLU,SGD,0.0005
481,0.0560932569278681,500,100,SimpleNeuralNet,30,ReLU,Adam,0.0005
497,0.0564785608559827,500,100,SimpleNeuralNet,30,ReLU,Adam,0.0005
476,0.0363675179754464,500,100,SimpleNeuralNet,30,ReLU,Adam,0.0005
500,0.0894209260416317,500,100,SimpleNeuralNet,30,ReLU,SGD,0.0005
500,0.1067498078709598,500,100,SimpleNeuralNet,30,ReLU,SGD,0.0005
500,0.0765072899515794,500,100,SimpleNeuralNet,30,ReLU,SGD,0.0005
486,0.0671439094012956,500,100,SimpleNeuralNet,10,Tanh,Adam,0.0005
500,0.0752552252298889,500,100,SimpleNeuralNet,10,Tanh,Adam,0.0005
499,0.0494921117128352,500,100,SimpleNeuralNet,10,Tanh,Adam,0.0005
500,0.1122236174961333,500,100,SimpleNeuralNet,10,Tanh,SGD,0.0005
500,0.1254210886800897,500,100,SimpleNeuralNet,10,Tanh,SGD,0.0005
500,0.0947375123360819,500,100,SimpleNeuralNet,10,Tanh,SGD,0.0005
492,0.062146813087102,500,100,SimpleNeuralNet,15,Tanh,Adam,0.0005
499,0.0679592525296812,500,100,SimpleNeuralNet,15,Tanh,Adam,0.0005
500,0.0436917383255023,500,100,SimpleNeuralNet,15,Tanh,Adam,0.0005
500,0.1106049101569345,500,100,SimpleNeuralNet,15,Tanh,SGD,0.0005
500,0.1258532779758836,500,100,SimpleNeuralNet,15,Tanh,SGD,0.0005
500,0.0963988124087026,500,100,SimpleNeuralNet,15,Tanh,SGD,0.0005
495,0.0592040563037767,500,100,SimpleNeuralNet,20,Tanh,Adam,0.0005
498,0.0605190617090644,500,100,SimpleNeuralNet,20,Tanh,Adam,0.0005
497,0.0404316300503424,500,100,SimpleNeuralNet,20,Tanh,Adam,0.0005
500,0.101070482040147,500,100,SimpleNeuralNet,20,Tanh,SGD,0.0005
500,0.1177005877422245,500,100,SimpleNeuralNet,20,Tanh,SGD,0.0005
500,0.0881841473821466,500,100,SimpleNeuralNet,20,Tanh,SGD,0.0005
497,0.0571186999978301,500,100,SimpleNeuralNet,25,Tanh,Adam,0.0005
495,0.0580147601851572,500,100,SimpleNeuralNet,25,Tanh,Adam,0.0005
500,0.0374356197919652,500,100,SimpleNeuralNet,25,Tanh,Adam,0.0005
500,0.1134164714393849,500,100,SimpleNeuralNet,25,Tanh,SGD,0.0005
500,0.1153999237382532,500,100,SimpleNeuralNet,25,Tanh,SGD,0.0005
500,0.0865223669305774,500,100,SimpleNeuralNet,25,Tanh,SGD,0.0005
499,0.0560100417003298,500,100,SimpleNeuralNet,30,Tanh,Adam,0.0005
494,0.0553120121685157,500,100,SimpleNeuralNet,30,Tanh,Adam,0.0005
499,0.0339815042823213,500,100,SimpleNeuralNet,30,Tanh,Adam,0.0005
500,0.1037943184250114,500,100,SimpleNeuralNet,30,Tanh,SGD,0.0005
500,0.122312951002532,500,100,SimpleNeuralNet,30,Tanh,SGD,0.0005
500,0.0845512998100249,500,100,SimpleNeuralNet,30,Tanh,SGD,0.0005
500,0.0697408266437727,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.0005
